candidate_name,core,spacer,anchor,substituent,design_family,smiles,canonical_smiles,valid_smiles,candidate_id
carbazole_C2_Cl/CF3,carbazole,C2,phosphonic acid,Cl/CF3,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(C(F)(F)F)ccc21,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(C(F)(F)F)ccc21,True,VSAM-0057
carbazole_C2_Cl/Ph,carbazole,C2,phosphonic acid,Cl/Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(c3ccccc3)ccc21,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(-c3ccccc3)ccc21,True,VSAM-0058
carbazole_C2_Cl/Th,carbazole,C2,phosphonic acid,Cl/Th,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(c3ccsc3)ccc21,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(-c3ccsc3)ccc21,True,VSAM-0059
carbazole_C2_Cl/Anisyl,carbazole,C2,phosphonic acid,Cl/Anisyl,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(Cl)ccc2n3CCP(=O)(O)O)cc1,True,VSAM-0060
carbazole_C2_Cl/F-Ph,carbazole,C2,phosphonic acid,Cl/F-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(c3ccc(F)cc3)ccc21,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(-c3ccc(F)cc3)ccc21,True,VSAM-0061
carbazole_C2_Cl/Cl-Ph,carbazole,C2,phosphonic acid,Cl/Cl-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(c3ccc(Cl)cc3)ccc21,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(-c3ccc(Cl)cc3)ccc21,True,VSAM-0062
carbazole_C2_Cl/Me-Ph,carbazole,C2,phosphonic acid,Cl/Me-Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Cl)cc2c2cc(c3ccc(C)cc3)ccc21,Cc1ccc(-c2ccc3c(c2)c2cc(Cl)ccc2n3CCP(=O)(O)O)cc1,True,VSAM-0063
carbazole_C2_Br/Me,carbazole,C2,phosphonic acid,Br/Me,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(C)ccc21,Cc1ccc2c(c1)c1cc(Br)ccc1n2CCP(=O)(O)O,True,VSAM-0064
carbazole_C2_Br/OMe,carbazole,C2,phosphonic acid,Br/OMe,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(OC)ccc21,COc1ccc2c(c1)c1cc(Br)ccc1n2CCP(=O)(O)O,True,VSAM-0065
carbazole_C2_Br/CN,carbazole,C2,phosphonic acid,Br/CN,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(C#N)ccc21,N#Cc1ccc2c(c1)c1cc(Br)ccc1n2CCP(=O)(O)O,True,VSAM-0066
carbazole_C2_Br/CF3,carbazole,C2,phosphonic acid,Br/CF3,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(C(F)(F)F)ccc21,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(C(F)(F)F)ccc21,True,VSAM-0067
carbazole_C2_Br/Ph,carbazole,C2,phosphonic acid,Br/Ph,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(c3ccccc3)ccc21,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(-c3ccccc3)ccc21,True,VSAM-0068
carbazole_C2_Br/Th,carbazole,C2,phosphonic acid,Br/Th,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(c3ccsc3)ccc21,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(-c3ccsc3)ccc21,True,VSAM-0069
carbazole_C2_Br/Anisyl,carbazole,C2,phosphonic acid,Br/Anisyl,mixed-disubstituted carbazole,O=P(O)(O)CCn1c2ccc(Br)cc2c2cc(c3ccc(OC)cc3)ccc21,COc1ccc(-c2ccc3c(c2)c2cc(Br)ccc2n3CCP(=O)(O)O)cc1,True,VSAM-0070
