canonical_smiles,name,original_smiles,pce_mean,pce_median,pce_max,record_count,phosphonic acid / phosphonate,carboxylic acid / carboxylate,carbazole core,benzene ring,thiophene ring,C2 alkyl spacer,C3 alkyl spacer,C4 alkyl spacer,C6 alkyl chain,carbonyl group,fluorinated carbon,chlorinated aryl,brominated aryl,Ring count,Aromatic rings,P atoms,N atoms,O atoms,F atoms,Heavy atoms,MolWt,LogP,TPSA,HBA,HBD,FractionCSP3,brics_fragments,pce_group
O=P(O)(O)CCCCn1c2cc(-c3cccc4ccccc34)ccc2c2ccc(-c3cccc4ccccc34)cc21,N1-PACz,O=P(O)(O)CCCCn1c2cc(-c3cccc4ccccc34)ccc2c2ccc(-c3cccc4ccccc34)cc21,20.0,20.0,20.0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,7,7,1,1,3,0,41,555.6140000000001,9.392799999999998,62.46,1,2,0.1111111111111111,*CCCCP(=O)(O)O|*c1ccc2c3ccc(*)cc3n(*)c2c1|*c1cccc2ccccc12,high
O=P(O)(O)CCCCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,JJ36,O=P(O)(O)CCCCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,16.990000000000002,17.91,19.22,13,1,0,1,1,0,1,1,1,0,0,0,0,0,5,5,1,1,3,0,33,455.4940000000002,7.0864000000000065,62.46,1,2,0.14285714285714285,*CCCCP(=O)(O)O|*c1ccc2c3ccc(*)cc3n(*)c2c1|*c1ccccc1,middle
O=P(O)(O)CCCCn1c2cc(-c3ccsc3)ccc2c2ccc(-c3ccsc3)cc21,4PAThCz,O=P(O)(O)CCCCn1c2cc(-c3ccsc3)ccc2c2ccc(-c3ccsc3)cc21,20.285,20.285,20.78,2,1,0,1,1,1,1,1,1,0,0,0,0,0,5,5,1,1,3,0,31,467.5520000000002,7.209400000000006,62.46,3,2,0.16666666666666666,*CCCCP(=O)(O)O|*c1ccc2c3ccc(*)cc3n(*)c2c1|*c1ccsc1,high
O=P(O)(O)CCCCn1c2cc(Br)c3ccccc3c2c2c3ccccc3c(Br)cc21,JJ25,OP(O)(=O)CCCCN1C2=C(C3=CC=CC=C3C(Br)=C2)C2=C1C=C(Br)C1=CC=CC=C12,16.35857142857143,17.87,19.05,7,1,0,1,1,0,1,1,1,0,0,0,0,1,5,5,1,1,3,0,31,561.2100000000003,7.583800000000005,62.46,1,2,0.16666666666666666,*CCCCP(=O)(O)O|*n1c2cc(Br)c3ccccc3c2c2c3ccccc3c(Br)cc21,middle
O=P(O)(O)CCCCn1c2cc3c(cc2F)c2cc4c(c-3c(c3c2ccc2c3c3ccccc3n2CCCCP(=O)(O)O)n4CCCCP(=O)(O)O)c2ccccc21,3-BPIC,O=P(O)(O)CCCCN1c2cc3c(cc2F)c2c4c(c5c(n(c6ccccc65)CCCCP(=O)(O)O)cc4)c4c3c(c3ccccc31)c(n4CCCCP(=O)(O)O)c2,16.439999999999998,16.439999999999998,19.34,2,1,0,1,1,0,1,1,1,0,0,1,0,0,10,7,3,3,9,1,58,845.7380000000003,9.71889999999999,187.38,3,6,0.2857142857142857,*CCCCP(=O)(O)O|*n1c2cc3c(cc2F)c2cc4c(c-3c(c3c2ccc2c3c3ccccc3n2*)n4*)c2ccccc21,middle
O=P(O)(O)CCCCn1c2cc3ccccc3cc2c2cc3ccccc3cc21,4DBCP,O=P(O)(O)CCCCn1c2cc3ccccc3cc2c2cc3ccccc3cc21,19.0,19.0,19.0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,5,5,1,1,3,0,29,403.4180000000002,6.058800000000005,62.46,1,2,0.16666666666666666,*CCCCP(=O)(O)O|*n1c2cc3ccccc3cc2c2cc3ccccc3cc21,high
O=P(O)(O)CCCCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,Cbz-2Ph,O=P(O)(O)CCCCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,18.58818181818182,18.825,20.3,22,1,0,1,1,0,1,1,1,0,0,0,0,0,5,5,1,1,3,0,33,455.4940000000002,7.0864000000000065,62.46,1,2,0.14285714285714285,*CCCCP(=O)(O)O|*c1ccc2c(c1)c1cc(*)ccc1n2*|*c1ccccc1,high
O=P(O)(O)CCCCn1c2ccc(Br)cc2c2c3ccccc3ccc21,BCBBr-C4PA,OP(CCCCN1C2=C(C(C=CC=C3)=C3C=C2)C4=C1C=CC(Br)=C4)(O)=O,17.3575,17.130000000000003,18.84,4,1,0,1,1,0,1,1,1,0,0,0,0,1,4,4,1,1,3,0,26,432.2540000000002,5.668100000000004,62.46,1,2,0.2,*CCCCP(=O)(O)O|*n1c2ccc(Br)cc2c2c3ccccc3ccc21,middle
O=P(O)(O)CCCCn1c2ccc(Br)cc2c2cc(Br)ccc21,DB-Br,O=P(O)(O)CCCCn1c2ccc(Br)cc2c2cc(Br)ccc21,17.62,17.62,18.19,2,1,0,1,1,0,1,1,1,0,0,0,0,1,3,3,1,1,3,0,23,461.09000000000015,5.277400000000003,62.46,1,2,0.25,*CCCCP(=O)(O)O|*n1c2ccc(Br)cc2c2cc(Br)ccc21,middle
O=P(O)(O)CCCCn1c2ccc(Br)cc2c2ccc(Br)cc21,Cz-Br-4,O=P(O)(O)CCCCn1c2ccc(Br)cc2c2ccc(Br)cc21,15.4,15.4,15.4,1,1,0,1,1,0,1,1,1,0,0,0,0,1,3,3,1,1,3,0,23,461.09000000000015,5.277400000000003,62.46,1,2,0.25,*CCCCP(=O)(O)O|*n1c2ccc(Br)cc2c2ccc(Br)cc21,middle
O=P(O)(O)CCCCn1c2ccc(Br)cc2c2ccc3ccccc3c21,BrBACz,O=P(O)(O)CCCCn1c2ccc(Br)cc2c2ccc3ccccc3c21,19.215,19.275,19.7,4,1,0,1,1,0,1,1,1,0,0,0,0,1,4,4,1,1,3,0,26,432.2540000000002,5.668100000000004,62.46,1,2,0.2,*CCCCP(=O)(O)O|*n1c2ccc(Br)cc2c2ccc3ccccc3c21,high
O=P(O)(O)CCCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,2Cl-4PACz,O=P(O)(O)CCCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,14.719999999999999,15.2,15.21,3,1,0,1,1,0,1,1,1,0,0,0,1,0,3,3,1,1,3,0,23,372.18800000000016,5.059200000000003,62.46,1,2,0.25,*CCCCP(=O)(O)O|*n1c2ccc(Cl)cc2c2cc(Cl)ccc21,middle
