name,SMILES,doi,pce,voc,jsc,ff,pce_from_voc_jsc_ff,pce_abs_error,target_flag
P-4PACz,O=P(O)(O)CCCCn1c2ccccc2c2cc(-c3ccccc3)ccc21,10.20517/energymater.2026.25,19.03,0.866,27.872,78.86,19.0345580672,0.004558067199997851,False
4PACz,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,10.20517/energymater.2026.25,16.21,0.8641,25.8403,72.61,16.212798805303,0.00279880530299792,False
P-4PACz,O=P(O)(O)CCCCn1c2ccccc2c2cc(-c3ccccc3)ccc21,10.20517/energymater.2026.25,16.73,0.8602,26.1617,74.35,16.731942841789998,0.0019428417899973738,False
2PACz,O=P(O)(O)CCn1c2ccccc2c2ccccc21,10.20517/energymater.2026.25,16.24,0.8587,25.7308,73.51,16.242062404396002,0.002062404396003359,False
4PACz,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,10.20517/energymater.2026.25,15.4,0.9394,23.8707,68.71,15.407623557017995,0.007623557017994997,False
P-4PACz,O=P(O)(O)CCCCn1c2ccccc2c2cc(-c3ccccc3)ccc21,10.20517/energymater.2026.25,16.35,0.9503,23.9253,71.92,16.351884094728,0.0018840947279983311,False
2PACz,O=P(O)(O)CCn1c2ccccc2c2ccccc21,10.20517/energymater.2026.25,15.61,0.9386,23.7043,70.18,15.614247126764,0.004247126764001408,False
4PACz,O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,10.20517/energymater.2026.25,17.44,0.8818,25.2651,78.26,17.435361629868,0.004638370131999636,False
P-4PACz,O=P(O)(O)CCCCn1c2ccccc2c2cc(-c3ccccc3)ccc21,10.20517/energymater.2026.25,18.16,0.8696,26.4909,78.58,18.102071201712,0.05792879828799968,False
2PACz,O=P(O)(O)CCn1c2ccccc2c2ccccc21,10.20517/energymater.2026.25,17.66,0.885,25.6213,77.9,17.663708539500004,0.0037085395000033827,False
6C2A,C1(C(C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)C(=O)O)C(=O)O,10.11777/j.issn1000-3304.2024.24312,18.2,0.848,27.7,76.6,17.9930336,0.20696639999999888,False
6C2A,C1(C(C2(C(=C(C1(C2(Cl)Cl)Cl)Cl)Cl)Cl)C(=O)O)C(=O)O,10.11777/j.issn1000-3304.2024.24312,16.2,0.843,26.0,74.1,16.241238,0.041237999999999886,False
Me-4PACz,Cc1ccc2c(c1)c1ccc(C)cc1n2CCCCP(=O)(O)O,10.1063/5.0215972,17.06,0.826,27.08,76.26,17.057897808,0.002102191999998837,False
2PACz,O=P(O)(O)CCn1c2ccccc2c2ccccc21,10.1063/5.0215972,15.67,0.813,27.03,71.29,15.666255531000001,0.003744468999999029,False
3FMBPA,O=P(O)(O)Cc1ccc(C(F)(F)F)cc1,10.1063/1.4916182,3.82,0.56,9.8,63.4,3.4793920000000007,0.34060799999999913,False
BrDECz,COc1ccc(-c2ccc3c4cc(Br)ccc4n(CCP(=O)(O)O)c3c2)cc1OC,10.1039/d4ee04515g,18.29,0.85,28.01,76.46,18.203979099999998,0.08602090000000118,False
DECz,COc1ccc(-c2ccc3c(c2)c2ccc(-c4ccc(OC)c(OC)c4)cc2n3CCP(=O)(O)O)cc1OC,10.1039/d4ee04515g,17.65,0.83,28.01,75.94,17.65475902,0.0047590200000016125,False
"2,7-diBr-2PACz",O=P(O)(O)CCn1c2cc(Br)ccc2c2ccc(Br)cc21,10.1039/d4ee04515g,17.81,0.84,28.04,75.65,17.8182984,0.008298400000001038,False
BrDECz,COc1ccc(-c2ccc3c4cc(Br)ccc4n(CCP(=O)(O)O)c3c2)cc1OC,10.1039/d4ee04515g,18.23,0.89,26.75,76.77,18.27701775,0.047017749999998415,False
DECz,COc1ccc(-c2ccc3c(c2)c2ccc(-c4ccc(OC)c(OC)c4)cc2n3CCP(=O)(O)O)cc1OC,10.1039/d4ee04515g,17.83,0.88,26.2,77.09,17.7738704,0.05612959999999845,False
"2,7-diBr-2PACz",O=P(O)(O)CCn1c2cc(Br)ccc2c2ccc(Br)cc21,10.1039/d4ee04515g,17.52,0.88,26.13,76.68,17.63210592,0.11210592000000119,False
BrDECz,COc1ccc(-c2ccc3c4cc(Br)ccc4n(CCP(=O)(O)O)c3c2)cc1OC,10.1039/d4ee04515g,19.67,0.87,28.85,78.37,19.670478150000005,0.0004781500000028416,False
DECz,COc1ccc(-c2ccc3c(c2)c2ccc(-c4ccc(OC)c(OC)c4)cc2n3CCP(=O)(O)O)cc1OC,10.1039/d4ee04515g,18.74,0.85,28.64,77.0,18.744880000000002,0.004880000000003548,False
"2,7-diBr-2PACz",O=P(O)(O)CCn1c2cc(Br)ccc2c2ccc(Br)cc21,10.1039/d4ee04515g,18.46,0.85,28.4,76.49,18.464685999999997,0.004685999999995971,False
BrDECz,COc1ccc(-c2ccc3c4cc(Br)ccc4n(CCP(=O)(O)O)c3c2)cc1OC,10.1039/d4ee04515g,16.05,0.81,26.63,74.36,16.03967508,0.01032492000000218,False
DECz,COc1ccc(-c2ccc3c(c2)c2ccc(-c4ccc(OC)c(OC)c4)cc2n3CCP(=O)(O)O)cc1OC,10.1039/d4ee04515g,15.59,0.81,26.15,73.43,15.55357545,0.036424549999999556,False
"2,7-diBr-2PACz",O=P(O)(O)CCn1c2cc(Br)ccc2c2ccc(Br)cc21,10.1039/d4ee04515g,15.19,0.81,26.13,71.01,15.029479530000003,0.16052046999999625,False
C3-SAM,NCCC(=O)O,10.1088/1674-1056/27/7/078802,3.04,0.55,9.52,56.43,2.9546748,0.08532520000000021,False
F5BnPA,O=P(O)(O)Cc1c(F)c(F)c(F)c(F)c1F,10.1039/b823148f,3.7,0.399,13.0,55.0,2.85285,0.8471500000000001,False
FOPA,O=P(O)(O)CC(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)F,10.1039/b823148f,3.4,0.394,13.0,51.0,2.6122199999999998,0.7877800000000001,False
BA,O=C(O)c1ccccc1,10.1039/c1ee00005e,2.41,0.78,5.89,53.0,2.434926,0.02492599999999978,False
BBA,O=C(O)c1ccc(Br)cc1,10.1039/c1ee00005e,2.72,0.78,6.43,55.0,2.75847,0.03846999999999978,False
CBA,O=C(O)c1ccc(Cl)cc1,10.1039/c1ee00005e,3.25,0.79,6.84,59.0,3.188124,0.06187599999999982,False
FBA,O=C(O)c1ccc(F)cc1,10.1039/c1ee00005e,2.74,0.8,5.96,57.0,2.71776,0.022240000000000038,False
PPA,O=P(O)(O)c1ccccc1,10.1039/c1ee00005e,1.64,0.61,5.59,49.0,1.6708509999999999,0.030850999999999962,False
BPA,O=P(O)(O)c1ccc(Br)cc1,10.1039/c1ee00005e,2.7,0.76,6.27,56.0,2.668512,0.03148799999999996,False
CPA,O=P(O)(O)c1ccc(Cl)cc1,10.1039/c1ee00005e,2.6,0.75,6.29,54.0,2.54745,0.0525500000000001,False
BA,O=C(O)c1ccccc1,10.1039/c1ee00005e,1.6,0.61,4.34,60.0,1.5884399999999999,0.011560000000000237,False
BBA,O=C(O)c1ccc(Br)cc1,10.1039/c1ee00005e,1.7,0.7,4.48,55.0,1.7248,0.024800000000000155,False
CBA,O=C(O)c1ccc(Cl)cc1,10.1039/c1ee00005e,1.7,0.71,4.54,53.0,1.7084019999999998,0.008401999999999799,False
