name,SMILES,pce_mean,record_count,PC1,PC2,doi
Bz-3PACz,O=P(O)(O)CCCn1c2ccc3ccccc3c2c2c3ccccc3ccc21,18.4,1,3.981398828756755,-0.8468760322215203,10.1002/adfm.202418223
JJ36,O=P(O)(O)CCCCn1c2cc(-c3ccccc3)ccc2c2ccc(-c3ccccc3)cc21,16.990000000000002,13,5.506352467478313,0.910899354856283,10.1002/adfm.202423178
JJ37,O=P(O)(O)c1ccc(-n2c3cc(-c4ccccc4)ccc3c3ccc(-c4ccccc4)cc32)cc1,15.678,5,2.6005994900688147,-0.3666564729586049,10.1002/adfm.202423178
CBSC,O=S(=O)(Cl)c1ccc(Cl)cc1,8.95,2,-9.99034392360506,-3.251291677949013,10.1002/adma.201600197
CBA,O=C(O)c1ccc(Cl)cc1,5.5875,4,-12.645791217623628,-5.704092216657375,10.1002/adma.201600197
FBA,O=C(O)c1ccc(F)cc1,4.92,2,-12.233378706537847,-4.673737386906684,10.1002/adma.201600197
BA,O=C(O)c1ccccc1,3.3699999999999997,3,-12.164671824565207,-6.597147490723933,10.1002/adma.201600197
2PAThCz,O=P(O)(O)CCn1c2cc(-c3ccsc3)ccc2c2ccc(-c3ccsc3)cc21,19.895,2,5.000887590789959,0.11603337799121084,10.1002/adma.202502485
4PAThCz,O=P(O)(O)CCCCn1c2cc(-c3ccsc3)ccc2c2ccc(-c3ccsc3)cc21,20.285,2,5.524009575003673,1.378654209472708,10.1002/adma.202502485
2Cl-3PACz,O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,15.363333333333335,3,0.8535273824517501,-1.1945104070095696,10.1002/advs.202410277
2Cl-4PACz,O=P(O)(O)CCCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,14.719999999999999,3,1.1368448381148897,-0.4670665366649397,10.1002/advs.202410277
2Cl-5PACz,O=P(O)(O)CCCCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,12.556666666666667,3,1.1015989325254711,0.4088589559896684,10.1002/advs.202410277
F-2PACz,O=P(O)(O)CCn1c2cc(F)ccc2c2ccc(F)cc21,17.7,1,0.44281372983217115,-0.32413309106121485,10.1002/aenm.202202503
"2,7-diCl-2PACz",O=P(O)(O)CCn1c2cc(Cl)ccc2c2ccc(Cl)cc21,15.225,4,0.1537672266299299,-1.9814909372407519,10.1002/aenm.202202503
I-2PACz,O=P(O)(O)CCn1c2cc(I)ccc2c2ccc(I)cc21,18.2,1,1.9358748584657273,-1.7090298433973294,10.1002/aenm.202202503
4PA-SAcF,O=P(O)(O)CCCCN1c2ccccc2C2(c3ccccc3-c3ccccc32)c2ccccc21,19.290000000000003,6,2.587031696631613,5.474772674979309,10.1002/aenm.202504541
4PA-DMAc,CC1(C)c2ccccc2N(CCCCP(=O)(O)O)c2ccccc21,16.83,1,-0.3744947678505739,2.850753340189649,10.1002/aenm.202504541
2-Br-4PACz,O=P(O)(O)CCCCn1c2ccccc2c2ccc(Br)cc21,18.56,1,2.622727867256879,-2.562302351874164,10.1002/anie.202401518
BrBACz,O=P(O)(O)CCCCn1c2ccc(Br)cc2c2ccc3ccccc3c21,19.215,4,3.7050364014162347,-1.860451146398291,10.1002/anie.202401518
JJ26,BrC1=CC=C2C3=C(N(CCCCP(O)(O)=O)C4=C3C5=CC=C(Br)C=C5C=C4)C=CC2=C1,19.05,3,5.024748034401838,0.5723174677475572,10.1002/anie.202502215
JJ32,O=P(O)(O)CCCCN1c2ccccc2Sc2nc3ccccc3nc21,19.21666666666667,6,1.1496112418484492,3.042063062995304,10.1002/anie.202507273
