feature,target,score,signed_score
fr_NH1,ff,0.10776449416206067,-0.10776449416206067
Bit_191,ff,0.10776449416206067,-0.10776449416206067
Bit_208,ff,0.10776449416206067,-0.10776449416206067
Bit_329,ff,0.10776449416206067,-0.10776449416206067
Bit_418,ff,0.10776449416206067,-0.10776449416206067
Bit_491,ff,0.10776449416206067,-0.10776449416206067
Bit_521,ff,0.10776449416206067,-0.10776449416206067
Bit_743,ff,0.10776449416206067,-0.10776449416206067
Bit_819,ff,0.10776449416206067,-0.10776449416206067
Bit_855,ff,0.10776449416206067,-0.10776449416206067
EState_VSA3,ff,0.10585123207815213,0.10585123207815213
PEOE_VSA4,ff,0.10315980740450284,-0.10315980740450284
Bit_601,ff,0.10272340036315349,0.10272340036315349
SMR_VSA5,ff,0.10256374186352002,0.10256374186352002
Spin_Coating_Speed(rpm),ff,0.10133244017031282,0.10133244017031282
Bit_28,ff,0.10102261585972955,-0.10102261585972955
Bit_59,ff,0.10102261585972955,-0.10102261585972955
Bit_374,ff,0.10102261585972955,-0.10102261585972955
Bit_886,ff,0.10102261585972955,-0.10102261585972955
Bit_972,ff,0.10102261585972955,-0.10102261585972955
Annealing,ff,0.09840206680088485,0.09840206680088485
Bit_235,ff,0.09693162105641975,0.09693162105641975
Bit_799,ff,0.09693162105641975,0.09693162105641975
fr_alkyl_halide,ff,0.09435325448473507,-0.09435325448473507
fr_nitro,ff,0.09429427561424564,-0.09429427561424564
fr_nitro_arom,ff,0.09429427561424564,-0.09429427561424564
fr_nitro_arom_nonortho,ff,0.09429427561424564,-0.09429427561424564
Bit_171,ff,0.09429427561424564,-0.09429427561424564
Bit_769,ff,0.09429427561424564,-0.09429427561424564
Bit_838,ff,0.09429427561424564,-0.09429427561424564
Bit_200,ff,0.09380452890181121,-0.09380452890181121
Bit_263,ff,0.0910086293364789,-0.0910086293364789
Bit_540,ff,0.0910086293364789,-0.0910086293364789
Kappa3,ff,0.0902261916489798,0.0902261916489798
Bit_77,ff,0.08966123099264216,0.08966123099264216
Bit_490,ff,0.0883914346221898,0.0883914346221898
Bit_20,ff,0.08734278262064873,-0.08734278262064873
Bit_18,ff,0.08662791735329914,0.08662791735329914
Bit_73,ff,0.08662791735329914,0.08662791735329914
Bit_130,ff,0.08662791735329914,0.08662791735329914
Bit_289,ff,0.08662791735329914,0.08662791735329914
