canonical_smiles,name,pce_mean,pce_group,record_count,anchor_rule,backbone_rule,spacer_rule,x_base,y_base,z_base,x_plot,y_plot,z_plot
O=P(O)(O)CCCCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,Cbz-2Ph,18.58818181818182,high,22,P-acid,PACz core,Short C4,0,2,2,-0.02344195209900424,1.9874336550702179,1.9866544259746388
O=P(O)(O)CCCCn1c2ccc(Br)cc2c2c3ccccc3ccc21,BCBBr-C4PA,17.3575,middle,4,P-acid,PACz core,Short C4,0,2,2,0.011392714557350393,1.973176887520481,2.0819872965427124
O=P(O)(O)CCCCn1c2ccc(Br)cc2c2cc(Br)ccc21,DB-Br,17.62,middle,2,P-acid,PACz core,Short C4,0,2,2,0.04103556319514948,2.102301100456954,2.0525608292111883
O=P(O)(O)CCCCn1c2ccc(Br)cc2c2ccc(Br)cc21,Cz-Br-4,15.4,middle,1,P-acid,PACz core,Short C4,0,2,2,0.04978586058549985,1.9225068022569558,2.127445231035276
O=P(O)(O)CCCCn1c2ccc(Br)cc2c2ccc3ccccc3c21,BrBACz,19.215,high,4,P-acid,PACz core,Short C4,0,2,2,0.05553430646399477,1.9373691086730922,2.0511542283797053
O=P(O)(O)CCCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,2Cl-4PACz,14.719999999999999,middle,3,P-acid,Substituted PACz,Short C4,0,1,2,-0.024410755057390633,1.0450328756282332,1.889957182104273
O=P(O)(O)CCCCn1c2ccc(Cl)cc2c2ccc(Cl)cc21,Cz-Cl-4,14.3,middle,1,P-acid,PACz core,Short C4,0,2,2,-0.03236462548651971,1.9723776413998286,1.9953132778971259
O=P(O)(O)CCCCn1c2ccc(F)cc2c2ccc(F)cc21,F-4PACz,14.116666666666667,middle,6,P-acid,Substituted PACz,Short C4,0,1,2,0.06005831168800078,0.999641469329595,1.9179594965183628
O=P(O)(O)CCCCn1c2ccc(I)cc2c2ccc(I)cc21,Cz-I-4,16.0,middle,1,P-acid,PACz core,Short C4,0,2,2,-0.013391302741713044,1.9885589971032842,1.9637204110343607
O=P(O)(O)CCCCn1c2ccc3cc(Br)ccc3c2c2c3ccc(Br)cc3ccc21,JJ26,19.05,high,3,P-acid,PACz core,Short C4,0,2,2,-0.08929804263365454,2.023630218415925,2.1057859903293705
O=P(O)(O)CCCCn1c2ccc3ccccc3c2c2c3ccccc3ccc21,4PADCB,17.547222222222224,middle,18,P-acid,PACz core,Short C4,0,2,2,-0.07933010498024365,2.0985237302919604,2.0446273667628385
O=P(O)(O)CCCCn1c2ccccc2c2cc(-c3ccccc3)ccc21,P-4PACz,18.114,middle,5,P-acid,PACz core,Short C4,0,2,2,-0.0643616600201128,2.006340943483122,1.9510748699994878
O=P(O)(O)CCCCn1c2ccccc2c2cc3ccccc3cc21,4BCP,18.54,high,5,P-acid,PACz core,Short C4,0,2,2,0.03480125208376349,2.04507571552938,1.929039784349172
O=P(O)(O)CCCCn1c2ccccc2c2ccc(-c3csc(Br)c3)cc21,ThBr-4PACz,19.5,high,1,P-acid,Substituted PACz,Short C4,0,1,2,0.009969801524939568,0.8564879529278284,2.002294746501338
O=P(O)(O)CCCCn1c2ccccc2c2ccc(Br)cc21,2-Br-4PACz,18.56,high,1,P-acid,Substituted PACz,Short C4,0,1,2,0.04833397478474378,0.9965897118648918,1.914840789543321
O=P(O)(O)CCCCn1c2ccccc2c2ccccc21,4PACz,16.703,middle,10,P-acid,PACz core,Short C4,0,2,2,-0.0299076852435574,1.940973881079499,1.9530201805822394
O=P(O)(O)CCCn1c2cc3ccccc3cc2c2cc3ccccc3cc21,3DBCP,18.0,middle,1,P-acid,PACz core,Short C3,0,2,1,0.011097778375369996,1.914683085770346,1.021840663008587
O=P(O)(O)CCCn1c2ccc(-c3ccccc3)cc2c2cc(-c3ccccc3)ccc21,Ph-3PACz,18.46666666666667,high,3,P-acid,Substituted PACz,Short C3,0,1,1,0.043791327577713576,0.9385293343149874,1.0808718425274688
O=P(O)(O)CCCn1c2ccc(Cl)cc2c2cc(Cl)ccc21,2Cl-3PACz,15.363333333333335,middle,3,P-acid,Substituted PACz,Short C3,0,1,1,-0.02165425778041669,0.9766113591509431,1.0426133030557108
O=P(O)(O)CCCn1c2ccc(F)cc2c2ccc3c4cc(F)ccc4n(CCCP(=O)(O)O)c3c21,3-BPIC-F,18.65,high,8,P-acid,PACz core,Short C3,0,2,1,0.031974266629018804,2.064113177964921,0.839609734398133
O=P(O)(O)CCCn1c2ccc(I)cc2c2ccc(I)cc21,Cz-I-3,17.3,middle,1,P-acid,PACz core,Short C3,0,2,1,-0.04633481587466559,1.9071525097582305,1.0213056710321182
O=P(O)(O)CCCn1c2ccc3ccccc3c2c2c3ccccc3ccc21,Bz-3PACz,18.4,high,1,P-acid,PACz core,Short C3,0,2,1,-0.025413769259555026,2.0021442044816093,1.0050423501262804
O=P(O)(O)CCCn1c2ccccc2c2cc3c(cc21)c1ccccc1n3CCCP(=O)(O)O,3-BPIC(i),13.54,middle,1,P-acid,PACz core,Short C3,0,2,1,-0.02672165257988304,1.9661081396666495,1.0289723199760885
O=P(O)(O)CCCn1c2ccccc2c2cc3c4ccccc4n(-c4ccccc4)c3cc21,Ph-DIBCz,18.226666666666663,middle,3,P-acid,PACz core,Short C3,0,2,1,-0.08370877519123278,1.9770628833946629,1.1131346777155846
O=P(O)(O)CCCn1c2ccccc2c2cc3ccccc3cc21,3BCP,19.2,high,1,P-acid,PACz core,Short C3,0,2,1,0.03408807365499073,2.070193047771322,0.855573320623668
O=P(O)(O)CCCn1c2ccccc2c2ccc3c4ccccc4n(-c4ccccc4)c3c21,Ph-DIACz,19.396666666666665,high,3,P-acid,PACz core,Short C3,0,2,1,-0.032858163814190676,2.037668080590275,0.9586227602366226
O=P(O)(O)CCCn1c2ccccc2c2ccccc21,3PACz,16.7,middle,4,P-acid,PACz core,Short C3,0,2,1,0.0008745883109381201,2.093617867520992,1.041363442595535
O=P(O)(O)CCN1c2ccc(Br)cc2Oc2cc(Br)ccc21,Br-2EPO,17.21,middle,1,P-acid,Other,Short C2,0,3,0,0.03365226612341363,2.989184602452507,-0.11071160796177597
O=P(O)(O)CCN1c2ccc(Br)cc2Sc2cc(Br)ccc21,Br-2EPT,17.46,middle,1,P-acid,Other,Short C2,0,3,0,0.03125718232209609,2.951284017183051,0.10331643336374563
